Date,Close_USDPLN,High_USDPLN,Low_USDPLN,Open_USDPLN,Volume_USDPLN,Close_EURPLN,High_EURPLN,Low_EURPLN,Open_EURPLN,Volume_EURPLN,Close_EURUSD,High_EURUSD,Low_EURUSD,Open_EURUSD,Volume_EURUSD,Close_EURGBP,High_EURGBP,Low_EURGBP,Open_EURGBP,Volume_EURGBP,Great_Britain_CPI,Germany_CPI,France_CPI,Italy_CPI,United_States_CPI,Poland_CPI,France_GDP,Germany_GDP,Italy_GDP,Poland_GDP,United Kingdom_GDP,United States_GDP
2020-01-01,3.805500030517578,3.890199899673462,3.795267105102539,3.805500030517578,0.0,4.2708001136779785,4.364799976348877,4.253399848937988,4.2708001136779785,0.0,1.1220825910568237,1.1228384971618652,1.115946888923645,1.1220825910568237,0.0,0.8461999893188477,0.847100019454956,0.8312900066375732,0.8460999727249146,0.0,1.7857142857142794,1.740812940207248,1.4852926900301044,0.48828125,2.48653483992467,4.402511471312298,2647926055110.05,3941398957073.94,1907481094079.23,605914237903.742,2724001478304.59,21060473613000.0
2020-01-02,3.7929999828338623,3.8053998947143555,3.787990093231201,3.7929999828338623,0.0,4.25540018081665,4.257500171661377,4.243000030517578,4.254700183868408,0.0,1.1220825910568237,1.12271249294281,1.1166820526123047,1.1218937635421753,0.0,0.8465700149536133,0.8512499928474426,0.84579998254776,0.8466299772262573,0.0,1.7857142857142794,1.740812940207248,1.4852926900301044,0.48828125,2.48653483992467,4.402511471312298,2647926055110.05,3941398957073.94,1907481094079.23,605914237903.742,2724001478304.59,21060473613000.0
2020-01-03,3.7939999103546143,3.825500011444092,3.7903199195861816,3.7943999767303467,0.0,4.238399982452393,4.258699893951416,4.236730098724365,4.237450122833252,0.0,1.1171437501907349,1.118067979812622,1.112569808959961,1.1170812845230103,0.0,0.8495000004768372,0.8542199730873108,0.8492000102996826,0.8496000170707703,0.0,1.7857142857142794,1.740812940207248,1.4852926900301044,0.48828125,2.48653483992467,4.402511471312298,2647926055110.05,3941398957073.94,1907481094079.23,605914237903.742,2724001478304.59,21060473613000.0
2020-01-04,3.7939999103546143,3.825500011444092,3.7903199195861816,3.7943999767303467,0.0,4.238399982452393,4.258699893951416,4.236730098724365,4.237450122833252,0.0,1.1171437501907349,1.118067979812622,1.112569808959961,1.1170812845230103,0.0,0.8495000004768372,0.8542199730873108,0.8492000102996826,0.8496000170707703,0.0,1.7857142857142794,1.740812940207248,1.4852926900301044,0.48828125,2.48653483992467,4.402511471312298,2647926055110.05,3941398957073.94,1907481094079.23,605914237903.742,2724001478304.59,21060473613000.0
2020-01-05,3.7939999103546143,3.825500011444092,3.7903199195861816,3.7943999767303467,0.0,4.238399982452393,4.258699893951416,4.236730098724365,4.237450122833252,0.0,1.1171437501907349,1.118067979812622,1.112569808959961,1.1170812845230103,0.0,0.8495000004768372,0.8542199730873108,0.8492000102996826,0.8496000170707703,0.0,1.7857142857142794,1.740812940207248,1.4852926900301044,0.48828125,2.48653483992467,4.402511471312298,2647926055110.05,3941398957073.94,1907481094079.23,605914237903.742,2724001478304.59,21060473613000.0
2020-01-06,3.801039934158325,3.805999994277954,3.7826499938964844,3.8008599281311035,0.0,4.242380142211914,4.250239849090576,4.232810020446777,4.242370128631592,0.0,1.1161960363388062,1.120824933052063,1.1158099174499512,1.1162458658218384,0.0,0.8532900214195251,0.8543999791145325,0.8492699861526489,0.8532500267028809,0.0,1.7857142857142794,1.740812940207248,1.4852926900301044,0.48828125,2.48653483992467,4.402511471312298,2647926055110.05,3941398957073.94,1907481094079.23,605914237903.742,2724001478304.59,21060473613000.0
2020-01-07,3.7795000076293945,3.809999942779541,3.778749942779541,3.779099941253662,0.0,4.230800151824951,4.249040126800537,4.230269908905029,4.2307000160217285,0.0,1.1197994947433472,1.1199462413787842,1.1134865283966064,1.1195825338363647,0.0,0.8499799966812134,0.8526099920272827,0.8466600179672241,0.8499100208282471,0.0,1.7857142857142794,1.740812940207248,1.4852926900301044,0.48828125,2.48653483992467,4.402511471312298,2647926055110.05,3941398957073.94,1907481094079.23,605914237903.742,2724001478304.59,21060473613000.0
2020-01-08,3.806849956512451,3.81820011138916,3.799099922180176,3.8069000244140625,0.0,4.246009826660156,4.248439788818359,4.236909866333008,4.247200012207031,0.0,1.1154738664627075,1.1165200471878052,1.111086368560791,1.1155734062194824,0.0,0.8505300283432007,0.8514900207519531,0.84552001953125,0.8506900072097778,0.0,1.7857142857142794,1.740812940207248,1.4852926900301044,0.48828125,2.48653483992467,4.402511471312298,2647926055110.05,3941398957073.94,1907481094079.23,605914237903.742,2724001478304.59,21060473613000.0
2020-01-09,3.8097000122070312,3.8259999752044678,3.8062899112701416,3.808540105819702,0.0,4.2324299812316895,4.246570110321045,4.230899810791016,4.233799934387207,0.0,1.1113210916519165,1.1122233867645264,1.1095085144042969,1.1114444732666016,0.0,0.8478999733924866,0.8531799912452698,0.847000002861023,0.8479999899864197,0.0,1.7857142857142794,1.740812940207248,1.4852926900301044,0.48828125,2.48653483992467,4.402511471312298,2647926055110.05,3941398957073.94,1907481094079.23,605914237903.742,2724001478304.59,21060473613000.0
2020-01-10,3.8217999935150146,3.8311500549316406,3.807729959487915,3.8215999603271484,0.0,4.245299816131592,4.248000144958496,4.232419967651367,4.244180202484131,0.0,1.1111111640930176,1.1120996475219727,1.1086229085922241,1.1109259128570557,0.0,0.8499500155448914,0.8515999913215637,0.8478999733924866,0.8499000072479248,0.0,1.7857142857142794,1.740812940207248,1.4852926900301044,0.48828125,2.48653483992467,4.402511471312298,2647926055110.05,3941398957073.94,1907481094079.23,605914237903.742,2724001478304.59,21060473613000.0
